Argus v4 evolution (K-fold + slippage) — run v4, budget 10 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   4.200 | fold Calmar 10.84/ 0.66/ 5.40/-0.10 | fold DD 35/25/20/24%
Gen 7816 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7821 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7826 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7831 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7836 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7841 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7846 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7851 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7856 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7861 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7866 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7871 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7876 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7881 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7886 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7891 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7896 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7901 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7906 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7911 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7916 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7921 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7926 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7931 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7936 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7941 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7946 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7951 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7956 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7961 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7966 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7971 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7976 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7981 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7986 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7991 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 7996 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8001 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8006 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8011 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8016 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8021 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8026 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8031 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8036 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8041 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8046 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8051 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8056 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8061 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8066 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8071 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8076 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8081 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8086 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8091 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8096 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8101 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8106 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8111 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8116 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8121 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8126 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8131 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8136 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8141 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8146 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8151 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8156 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8161 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8166 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8171 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8176 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8181 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8186 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8191 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8196 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8201 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8206 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8211 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8216 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8221 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8226 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8231 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8236 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8241 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8246 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8251 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8256 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8261 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8266 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8271 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8276 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8281 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8286 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8291 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8296 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8301 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8306 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8311 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8316 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8321 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8326 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8331 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8336 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8341 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8346 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8351 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8356 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8361 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8366 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8371 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8376 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8381 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8386 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8391 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8396 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8401 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8406 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8411 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8416 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8421 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8426 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8431 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8436 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8441 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8446 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8451 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8456 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8461 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8466 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8471 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8476 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8481 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8486 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8491 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8496 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8501 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8506 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8511 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8516 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8521 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8526 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8531 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8536 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8541 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8546 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8551 | fit 149.861 | fold Calmar 597.22/ 0.38/ 1.20/ 0.64 | fold DD 21/29/34/22%
Gen 8556 | fit 149.861 | fold Calmar 597.22/ 0.38/ 1.20/ 0.64 | fold DD 21/29/34/22%
Gen 8561 | fit 149.861 | fold Calmar 597.22/ 0.38/ 1.20/ 0.64 | fold DD 21/29/34/22%
Gen 8566 | fit 149.866 | fold Calmar 597.22/ 0.40/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8571 | fit 149.866 | fold Calmar 597.22/ 0.40/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8576 | fit 149.866 | fold Calmar 597.22/ 0.40/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8581 | fit 149.866 | fold Calmar 597.22/ 0.40/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8586 | fit 149.866 | fold Calmar 597.22/ 0.40/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8591 | fit 149.866 | fold Calmar 597.22/ 0.40/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8596 | fit 149.866 | fold Calmar 597.22/ 0.40/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 8601 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8606 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8611 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8616 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8621 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8626 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8631 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8636 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8641 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8646 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8651 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8656 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8661 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8666 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8671 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8676 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8681 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8686 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8691 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8696 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8701 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8706 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8711 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8716 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8721 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8726 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8731 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8736 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8741 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8746 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8751 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8756 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8761 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8766 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8771 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8776 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8781 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8786 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8791 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8796 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8801 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8806 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8811 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8816 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8821 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8826 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8831 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8836 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8841 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8846 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8851 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8856 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8861 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8866 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8871 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8876 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8881 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8886 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8891 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8896 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8901 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8906 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8911 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8916 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8921 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8926 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8931 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8936 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8941 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 8946 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
