Argus v4 evolution (K-fold + slippage) — run v4, budget 10 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   4.200 | fold Calmar 10.84/ 0.66/ 5.40/-0.10 | fold DD 35/25/20/24%
Gen  876 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  881 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  886 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  891 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  896 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  901 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  906 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  911 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  916 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  921 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  926 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  931 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  936 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  941 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  946 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  951 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  956 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  961 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
