Argus v5 (macro + geo-mean K-fold + event delay + slippage) — run v5, budget 10 min, seed 42

Data: 3951 bars, 71 curated events, 3951 macro rows
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Precomputed: indicators + event-state (1d delay) + macro state

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   1.116 | fold Calmar  3.67/ 5.25/ 1.70/ 0.05 | fold DD  4/ 0/ 3/ 1%
Gen  321 | fit   8.233 | fold Calmar 27.79/ 4.63/12.48/ 2.86 | fold DD 22/ 7/ 8/ 5%
Gen  326 | fit   8.233 | fold Calmar 27.69/ 4.67/12.51/ 2.84 | fold DD 22/ 7/ 8/ 5%
Gen  331 | fit   8.235 | fold Calmar 27.78/ 4.63/12.52/ 2.86 | fold DD 22/ 7/ 8/ 5%
Gen  336 | fit   8.235 | fold Calmar 27.78/ 4.63/12.52/ 2.86 | fold DD 22/ 7/ 8/ 5%
Gen  341 | fit   8.235 | fold Calmar 27.78/ 4.63/12.52/ 2.86 | fold DD 22/ 7/ 8/ 5%
Gen  346 | fit   8.237 | fold Calmar 27.86/ 4.59/12.53/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  351 | fit   8.237 | fold Calmar 27.86/ 4.59/12.53/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  356 | fit   8.237 | fold Calmar 27.86/ 4.59/12.53/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  361 | fit   8.237 | fold Calmar 27.86/ 4.59/12.53/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  366 | fit   8.237 | fold Calmar 27.86/ 4.59/12.53/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  371 | fit   8.237 | fold Calmar 27.85/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  376 | fit   8.237 | fold Calmar 27.85/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  381 | fit   8.237 | fold Calmar 27.85/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  386 | fit   8.237 | fold Calmar 27.85/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  391 | fit   8.237 | fold Calmar 27.85/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  396 | fit   8.237 | fold Calmar 27.85/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
