AXIS bot evolution — run v1, budget 3 minutes

Data: 3951 daily bars (2010-08-18 → 2026-09-10)
Indicators precomputed

Buy-and-hold baseline: $1000 → $1116200000 (111619900% total return)

Gen 431 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 436 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 441 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 446 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 451 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 456 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 461 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 466 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 471 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 476 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 481 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 486 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 491 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 496 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 501 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 506 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 511 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 516 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 521 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 526 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 531 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 536 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 541 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 546 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 551 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 556 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 561 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 566 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 571 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 576 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 581 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 586 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 591 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 596 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 601 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 606 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 611 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 616 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 621 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 626 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 631 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 636 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 641 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 646 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 651 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
