Argus v2 evolution — run v2, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.291 | CAGR   69.9% | DD  30.5% | Calmar   2.29 | trades  104 | ✓
Gen  141 | fit   9.922 | CAGR  280.3% | DD  28.2% | Calmar   9.92 | trades  394 | ✓
Gen  146 | fit   9.923 | CAGR  280.3% | DD  28.2% | Calmar   9.92 | trades  394 | ✓
Gen  151 | fit   9.948 | CAGR  281.0% | DD  28.2% | Calmar   9.95 | trades  394 | ✓
Gen  156 | fit   9.949 | CAGR  281.1% | DD  28.2% | Calmar   9.95 | trades  394 | ✓
Gen  161 | fit   9.949 | CAGR  281.1% | DD  28.2% | Calmar   9.95 | trades  394 | ✓
Gen  166 | fit   9.954 | CAGR  281.2% | DD  28.2% | Calmar   9.95 | trades  394 | ✓
Gen  171 | fit   9.958 | CAGR  281.3% | DD  28.2% | Calmar   9.96 | trades  394 | ✓
Gen  176 | fit   9.958 | CAGR  281.3% | DD  28.2% | Calmar   9.96 | trades  394 | ✓
Gen  181 | fit   9.958 | CAGR  281.3% | DD  28.2% | Calmar   9.96 | trades  394 | ✓
Gen  186 | fit   9.959 | CAGR  281.3% | DD  28.2% | Calmar   9.96 | trades  394 | ✓
Gen  191 | fit  10.050 | CAGR  285.2% | DD  28.4% | Calmar  10.05 | trades  400 | ✓
Gen  196 | fit  10.144 | CAGR  287.9% | DD  28.4% | Calmar  10.14 | trades  396 | ✓
Gen  201 | fit  10.145 | CAGR  287.9% | DD  28.4% | Calmar  10.14 | trades  396 | ✓
Gen  206 | fit  10.148 | CAGR  288.0% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  211 | fit  10.149 | CAGR  288.0% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  216 | fit  10.150 | CAGR  288.0% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  221 | fit  10.150 | CAGR  288.0% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  226 | fit  10.150 | CAGR  288.0% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  231 | fit  10.151 | CAGR  288.1% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  236 | fit  10.151 | CAGR  288.1% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  241 | fit  10.151 | CAGR  288.1% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  246 | fit  10.151 | CAGR  288.1% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  251 | fit  10.151 | CAGR  288.1% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  256 | fit  10.151 | CAGR  288.1% | DD  28.4% | Calmar  10.15 | trades  396 | ✓
Gen  261 | fit  10.155 | CAGR  286.9% | DD  28.2% | Calmar  10.15 | trades  396 | ✓
