Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen 2421 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2426 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2431 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2436 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2441 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2446 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2451 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2456 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2461 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2466 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2471 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2476 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2481 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2486 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2491 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2496 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2501 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2506 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2511 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2516 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2521 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2526 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2531 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2536 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2541 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2546 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2551 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2556 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2561 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2566 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2571 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2576 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2581 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2586 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2591 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2596 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2601 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2606 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2611 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2616 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2621 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2626 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2631 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2636 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2641 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2646 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2651 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2656 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2661 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2666 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2671 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2676 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2681 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2686 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2691 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2696 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2701 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2706 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2711 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2716 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2721 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2726 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2731 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2736 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2741 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2746 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2751 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2756 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2761 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2766 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2771 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2776 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2781 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2786 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2791 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2796 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2801 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2806 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2811 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2816 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2821 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2826 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2831 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2836 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2841 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2846 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2851 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2856 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2861 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2866 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2871 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2876 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2881 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2886 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2891 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2896 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2901 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2906 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2911 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2916 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2921 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2926 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2931 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2936 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2941 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2946 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2951 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2956 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2961 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2966 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2971 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2976 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2981 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2986 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2991 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 2996 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3001 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3006 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3011 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3016 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3021 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3026 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3031 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3036 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3041 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3046 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3051 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3056 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3061 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3066 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3071 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3076 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3081 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3086 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3091 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3096 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3101 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3106 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3111 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3116 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3121 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3126 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3131 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3136 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3141 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3146 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3151 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3156 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3161 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3166 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3171 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3176 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3181 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3186 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3191 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3196 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3201 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3206 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3211 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3216 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3221 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3226 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3231 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3236 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3241 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3246 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3251 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3256 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3261 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3266 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3271 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3276 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3281 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3286 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3291 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3296 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3301 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3306 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3311 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3316 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3321 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3326 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3331 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3336 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3341 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3346 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3351 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3356 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3361 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3366 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3371 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3376 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3381 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3386 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3391 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3396 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3401 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3406 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3411 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3416 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3421 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3426 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3431 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3436 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3441 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3446 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3451 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3456 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3461 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3466 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3471 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3476 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3481 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3486 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3491 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3496 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3501 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3506 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3511 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3516 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3521 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3526 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3531 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3536 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3541 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3546 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3551 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3556 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3561 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3566 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3571 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3576 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3581 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3586 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3591 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3596 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3601 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3606 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3611 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3616 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3621 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3626 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3631 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3636 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3641 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3646 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3651 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3656 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3661 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3666 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3671 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3676 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3681 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3686 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 3691 | fit  13.780 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
