Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen  446 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  451 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  456 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  461 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  466 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  471 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  476 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  481 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  486 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  491 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  496 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  501 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  506 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  511 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  516 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  521 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  526 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  531 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  536 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  541 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  546 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
